# EP 3 825 750 A1 - 50mm f/1.8 anamorphic lens
# Cylindrical horizontal surfaces → radiusX != 0, radiusY = 0
# Spherical → radiusX = radiusY
# Planar / infinity → radiusX = radiusY = 0
# radiusX radiusY thickness aperture eta B1 B2 B3 C1 C2 C3

# 1st Lens (cylindrical negative) - Borosilicate
-68.330 0 7.460 34.0 1.5113 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
53.600 0 5.827 34.0 1.5113 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 2nd Lens (cylindrical negative, planar front) - Borosilicate
0 0 12.000 33.0 1.8325 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 3rd Lens (cylindrical positive) - Borosilicate
31.100 0 8.000 32.0 1.9235 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
-88.300 0 1.260 32.0 1.9235 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 4th Lens (spherical) - Borosilicate
29.570 29.570 4.520 28.5 1.9108 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
66.000 66.000 0.220 28.5 1.9108 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 5th Lens (spherical) - Borosilicate
22.467 22.467 5.660 26.0 1.6968 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 6th Lens (spherical doublet) - Borosilicate
203.000 203.000 3.030 25.0 1.6435 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
13.166 13.166 3.444 25.0 1.6435 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# Light bar / air gap (aperture stop)
0 0 10.719 20.0 1.0 0 0 0 0 0 0

# 7th Lens (spherical) - Borosilicate
-15.270 -15.270 1.580 22.0 1.6612 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 8th Lens (spherical) - Borosilicate
95.000 95.000 10.350 27.0 1.8040 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
-27.650 -27.650 0.200 27.0 1.8040 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 9th Lens (spherical) - Borosilicate
131.600 131.600 4.450 30.0 1.8040 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
-69.800 -69.800 0.100 30.0 1.8040 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653

# 10th Lens (spherical, exit surface planar) - Borosilicate
89.800 89.800 9.420 32.0 1.8040 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
0 0 0.000 32.0 1.8040 1.03961212 0.231792344 1.01046945 0.00600069867 0.0200179144 103.560653
