# Cooke Anamorphic /i 40mm T2.3 (US 9,341,827 B2)
# Radius  Thick   Eta      Dia      elementType
126.300   5.200   1.539    89.62    0
97.245    36.814  1.0      83.36    0
353.064   3.800   1.713    67.86    0
92.590    6.883   1.0      62.80    0
0         3.500   1.516    50.52    0
-148.390  14.839  1.0      47.54    1
0         3.450   1.633    45.80    1
0         5.800   1.0      45.00    0
137.155   27.940  1.847    45.18    2
-461.800  0.300   1.0      46.60    2
0         12.500  1.729    46.42    0
-150.800  0.653   1.0      45.78    1
50.915    9.576   1.883    44.56    2
46.800    12.600  1.0      41.60    2
53.070    8.880   1.805    36.00    0
319.370   2.459   1.0      35.90    0
33.309    10.712  1.539    26.20    0
-417.944  0.500   1.0      28.00    0
34.070    13.716  1.618    30.80    0
26.100    1.364   1.0      21.60    0
0         8.880   1.0      11.00    0
-18.450   2.400   1.618    10.60    0
82.960    8.997   1.516    10.60    0
-35.000   1.400   1.0      21.70    0
-15.960   3.430   1.773    23.80    0
38.430    0.100   1.0      26.00    0
84.972    3.440   1.773    25.20    0
-179.044  36.070  1.0      26.40    0
